Movie Title
Inception
The Dark Knight
Interstellar
The Matrix
Fight Club
Pulp Fiction
Forrest Gump
The Shawshank Redemption
The Godfather
The Lord of the Rings: The Fellowship of the Ring
Woody Allen: A Documentary,2012,tt2397619,"Documentary, Biography",7.7,N/A
Hands on a Hardbody: The Documentary,1997,tt0116481,"Documentary, Comedy, Drama",7.6,"$563,482"
Chasing Trane: The John Coltrane Documentary,2016,tt4283892,"Documentary, Biography, History",7.3,"$406,284"
Never Surrender: A Galaxy Quest Documentary,2019,tt11044122,Documentary,7.7,"$222,971"
Steve! (Martin): A Documentary in 2 Pieces,2024,tt21629194,"Documentary, Biography",7.5,N/A
The Amazing Johnathan Documentary,2019,tt9358084,Documentary,6.5,N/A
No Impact Man: The Documentary,2009,tt1280011,Documentary,6.6,"$100,028"
Tricked: The Documentary,2013,tt2246924,"Documentary, Crime",6.0,N/A
Total Drama,2007–2014,tt1173427,"Animation, Action, Adventure",7.4,N/A
Confessions of a Teenage Drama Queen,2004,tt0361467,"Comedy, Family, Music",4.7,"$29,331,068"
A Woman of Paris: A Drama of Fate,1923,tt0014624,"Drama, Romance",6.9,N/A
Eating Out: Drama Camp,2011,tt1833845,Comedy,5.3,N/A
Total Drama All Stars,2013–2014,tt3177810,"Animation, Action, Comedy",6.8,N/A
Kim Possible: So the Drama,2005,tt0446724,"Animation, Action, Adventure",7.1,N/A
Love Action Drama,2019,tt7117870,"Comedy, Romance",5.2,N/A
Total Drama Revenge of the Island,2012,tt2733534,"Animation, Action, Comedy",6.8,N/A
Total Drama Presents: The Ridonculous Race,2015,tt3787754,"Animation, Action, Adventure",7.4,N/A
Drama/Mex,2006,tt0808237,Drama,5.9,"$8,628"
Modern Family,2009–2020,tt1442437,"Comedy, Drama, Romance",8.5,N/A
Family Guy,1999–,tt0182576,"Animation, Comedy",8.1,N/A
The Addams Family,1991,tt0101272,"Comedy, Fantasy",6.9,"$113,502,426"
Instant Family,2018,tt7401588,"Comedy, Drama",7.3,"$67,363,237"
The Family,2013,tt2404311,"Comedy, Crime, Thriller",6.3,"$36,918,811"
Addams Family Values,1993,tt0106220,"Comedy, Fantasy",6.8,"$48,919,043"
The Family Man,2000,tt0218967,"Comedy, Drama, Fantasy",6.8,"$75,793,305"
Fighting with My Family,2019,tt6513120,"Biography, Comedy, Drama",7.0,"$22,958,886"
Final Fantasy: The Spirits Within,2001,tt0173840,"Animation, Action, Adventure",6.4,"$32,131,830"
Fantasy Island,2020,tt0983946,"Fantasy, Horror, Mystery",4.9,"$27,309,289"
Final Fantasy VII: Advent Children,2005,tt0385700,"Animation, Action, Adventure",7.1,N/A
Kingsglaive: Final Fantasy XV,2016,tt5595168,"Animation, Action, Adventure",6.7,"$269,980"
Wheel of Fortune and Fantasy,2021,tt14034966,"Drama, Romance",7.5,N/A
The Family Stone,2005,tt0356680,"Comedy, Drama, Romance",6.3,"$60,062,868"
Final Fantasy VII: Advent Children,2005,tt0385700,"Animation, Action, Adventure",7.1,N/A
Fuh se Fantasy,2019–,tt10162384,Romance,6.9,N/A
Film Noir: Bringing Darkness to Light,2006,tt0876257,"Documentary, History",7.2,N/A
The Rules of Film Noir,2009,tt1498172,"Documentary, History",7.3,N/A
Film Noir,2007,tt0970933,"Animation, Crime, Mystery",6.3,N/A
Los Angeles: City of Film Noir,2015,tt5365436,Documentary,7.0,N/A
"Milice, film noir",1997,tt0139464,Documentary,7.8,N/A
Possessed: The Quintessential Film Noir,2005,tt1003038,"Documentary, Short",7.4,N/A
Desert Spring Rose: Film Noir Vignette,2014,tt4345614,"Short, Crime, Music",N/A,N/A
I Survived a Japanese Game Show,2008–2009,tt1233427,"Adventure, Game-Show, Reality-TV",6.4,N/A
The Best of Film Noir,1999,tt0222809,Documentary,6.5,N/A
Talk Show the Game Show,2017–2018,tt6716256,Game-Show,4.9,N/A
Bullsh*t: The Game Show,2022,tt16912298,Game-Show,6.2,N/A
Saturday Night Live: Game Show Parodies,2000,tt0274794,Comedy,7.4,N/A
Bam's Bad Ass Game Show,2014,tt2649738,Game-Show,3.7,N/A
Game Show Models,1977,tt0076064,"Comedy, Drama",4.5,N/A
Hot Ones: The Game Show,2020–,tt11214398,Game-Show,4.5,N/A
The Most Outrageous Game Show Moments,2002,tt0323295,Comedy,8.5,N/A
Gay for Play Game Show Starring RuPaul,2016–2017,tt5713158,Game-Show,5.4,N/A
Broke A$$ Game Show,2015–,tt4344922,"Comedy, Game-Show",7.4,N/A
American History X,1998,tt0120586,"Crime, Drama",8.5,"$6,719,864"
A History of Violence,2005,tt0399146,"Action, Crime, Drama",7.4,"$31,504,633"
History of the World: Part I,1981,tt0082517,"Comedy, History, Musical",6.8,"$31,672,907"
The History Boys,2006,tt0464049,"Comedy, Drama, Romance",6.8,"$2,706,659"
4,"$1,876,298"
Clear History,2013,tt2279864,Comedy,6.4,N/A
True History of the Kelly Gang,2019,tt4844140,"Action, Biography, Crime",6.0,"$33,817"
National Treasure: Edge of History,2022–2023,tt12580982,"Action, Adventure, Mystery",5.8,N/A
Drunk History,2013–2019,tt2712612,"Comedy, History",7.8,N/A
The Untold History of the United States,2012–2013,tt1494191,"Documentary, History, War",8.6,N/A
American Horror Story,2011–,tt1844624,"Drama, Horror, Sci-Fi",8.0,N/A
The Rocky Horror Picture Show,1975,tt0073629,"Comedy, Horror, Musical",7.4,"$112,892,319"
The Amityville Horror,2005,tt0384806,Horror,5.9,"$65,233,369"
Nosferatu: A Symphony of Horror,1922,tt0013442,"Fantasy, Horror",7.9,N/A
A Classic Horror Story,2021,tt12877640,"Drama, Horror, Mystery",5.7,N/A
American Horror Stories,2021–,tt12306692,"Drama, Horror, Mystery",6.3,N/A
Masters of Horror,2005–2007,tt0448190,Horror,7.4,N/A
Horror of Dracula,1958,tt0051554,"Drama, Horror",7.2,N/A
Horror Express,1972,tt0068713,"Adventure, Horror, Sci-Fi",6.5,N/A
High School Musical 2,2007,tt0810900,"Comedy, Drama, Family",5.2,N/A
High School Musical,2006,tt0475293,"Comedy, Drama, Family",5.6,N/A
mily",5.0,"$90,559,416"
Cannibal! The Musical,1993,tt0115819,"Comedy, Horror, Musical",6.9,N/A
Matilda: The Musical,2022,tt3447590,"Comedy, Drama, Family",7.0,N/A
Khamoshi the Musical,1996,tt0116763,"Drama, Musical, Romance",7.5,N/A
Reefer Madness: The Movie Musical,2005,tt0404364,"Comedy, Drama, Horror",7.1,N/A
High School Musical: The Musical: The Series,2019–2023,tt8510382,"Comedy, Drama, Musical",7.1,N/A
Shrek the Musical,2013,tt3070936,"Comedy, Family, Fantasy",6.9,N/A
Alice the Musical,2023,tt20194152,"Fantasy, Musical",N/A,N/A
Music and Lyrics,2007,tt0758766,"Comedy, Music, Romance",6.5,"$50,572,589"
The Sound of Music,1965,tt0059742,"Biography, Drama, Family",8.1,"$159,287,539"
Bill,2015,tt2978576,"Comedy, Family, History",6.6,N/A
The Music Man,1962,tt0056262,"Comedy, Family, Musical",7.7,N/A
Music of the Heart,1999,tt0166943,"Drama, Music",6.7,"$14,859,394"
Music Box,1989,tt0100211,"Crime, Drama, Thriller",7.3,"$6,263,883"
Music,2021,tt7541720,"Drama, Musical, Thriller",3.2,N/A
Austin Powers: International Man of Mystery,1997,tt0118655,"Adventure, Comedy",7.0,"$53,911,748"
Murder Mystery,2019,tt1618434,"Crime, Mystery, Romance",6.1,N/A
Murder Mystery 2,2023,tt15255288,"Action, Comedy, Crime",5.7,N/A
Mystery Men,1999,tt0132347,"Action, Comedy, Fantasy",6.1,"$29,762,011"
"Mystery, Alaska",1999,tt0134618,"Comedy, Drama, Sport",6.7,"$8,891,623"
Mystery Science Theater 3000,1988–1999,tt0094517,"Comedy, Sci-Fi",8.6,N/A
Mystery Science Theater 3000: The Movie,1996,tt0117128,"Comedy, Drama, Fantasy",7.2,"$1,007,306"
Scooby-Doo! Mystery Incorporated,2010–2013,tt1660055,"Animation, Adventure, Comedy",8.2,N/A
News of the World,2020,tt6878306,"Action, Adventure, Drama",6.8,"$12,668,325"
Broadcast News,1987,tt0092699,"Comedy, Drama, Romance",7.3,"$51,249,404"
Mystery Train,1989,tt0097940,"Comedy, Crime, Drama",7.5,"$1,541,218"
The Bad News Bears,1976,tt0074174,"Comedy, Drama, Family",7.3,"$32,211,330"
Bad News Bears,2005,tt0408524,"Comedy, Sport",5.8,"$32,868,349"
Great News,2017–2018,tt4955480,Comedy,7.0,N/A
Breaking News,2004,tt0414931,"Action, Crime, Drama",6.7,N/A
Reality TV Movie,2014,tt2107764,Comedy,8.0,N/A
For Real: The Story of Reality TV,2021,tt13472752,"Documentary, Reality-TV",6.6,N/A
Playboy: Girls of Reality TV,2003,tt0386487,Documentary,6.7,N/A
40 Greatest Reality TV Moments 2,2007,tt1084660,Documentary,6.4,N/A
Breaking News in Yuba County,2021,tt7737640,"Comedy, Crime, Drama",5.8,N/A
Sexiest Women of Reality TV Swimsuit Calendar Edition,2009,tt1475544,Reality-TV,N/A,N/A
40 Greatest Reality TV Moments,2004,tt0417391,"Documentary, Reality-TV",4.7,N/A
True Romance,1993,tt0108399,"Crime, Drama, Romance",7.9,"$12,281,551"
Ulterior Motives: Reality TV Massacre,2016,tt3995026,"Drama, Horror, Mystery",7.2,N/A
Sexiest Women of Reality TV 2007,2007,tt0947073,Reality-TV,6.1,N/A
The Great Reality TV Swindle,2002,tt2025693,Documentary,8.2,N/A
When Reality TV Goes Horribly Wrong,2017,tt7748824,"Documentary, Reality-TV",N/A,N/A
College Romance,2018–2023,tt8809646,"Comedy, Drama, Romance",8.3,N/A
Romance Is a Bonus Book,2019,tt9130542,"Comedy, Drama, Romance",8.0,N/A
Romance,1999,tt0194314,"Drama, Romance",5.2,"$1,585,642"
Office Romance,1977,tt0076727,"Comedy, Drama, Romance",8.2,N/A
A Little Romance,1979,tt0079477,"Adventure, Comedy, Romance",7.4,N/A
Shuddh Desi Romance,2013,tt2988272,"Comedy, Drama, Romance",5.8,N/A
Sci Fi Science: Physics of the Impossible,2008–,tt1358355,"Documentary, Reality-TV",7.4,N/A
Murphy's Romance,1985,tt0089643,"Comedy, Drama, Romance",7.0,"$30,867,525"
Guilty of Romance,2011,tt1743724,"Drama, Romance, Thriller",6.8,N/A
The Sci-Fi Boys,2006,tt0800191,Documentary,6.9,N/A
ECW on Sci-Fi,2006–2010,tt0810614,Sport,5.8,N/A
From Stargate to Atlantis: Sci Fi Lowdown,2004,tt0419759,Documentary,7.3,N/A
Sci Fi Inside: 'the Triangle',2005,tt0901512,Sci-Fi,7.1,N/A
Sci Fi Inside: Stargate SG-1 200th Episode,2006,tt0861734,Documentary,8.3,N/A
Sci Fi Inside: 'Serenity',2005,tt0482592,Documentary,8.0,N/A
Not Another Sci-Fi Movie,2013,tt4796190,"Comedy, Sci-Fi",2.5,N/A
The Big Short,2015,tt1596363,"Biography, Comedy, Drama",7.8,"$70,259,870"
Short Term 12,2013,tt2370248,Drama,7.9,"$1,013,100"
Sci Fi Lowdown: Behind the Stargate - Secrets Revealed,2005,tt0446593,Documentary,8.1,N/A
Short Circuit,1986,tt0091949,"Comedy, Family, Sci-Fi",6.6,"$40,697,761"
Short Cuts,1993,tt0108122,"Comedy, Drama",7.6,"$6,110,979"
A Short Film About Love,1988,tt0095467,"Drama, Romance",8.1,N/A
Sci Fi Inside: Sci Fi Friday,2005,tt0814304,Documentary,4.7,N/A
Long Story Short,2021,tt10896634,"Comedy, Fantasy, Romance",6.6,N/A
Bad Sport,2021,tt15402912,"Documentary, Crime, Mystery",7.3,N/A
A Question of Sport,1970–,tt0239185,"Game-Show, Sport",6.3,N/A
The Other Sport,2013–,tt2211065,"Documentary, Sport",8.7,N/A
Formula 1: BBC Sport,2009–2015,tt1540109,Sport,8.7,N/A
Sport Billy,1979–1980,tt0131598,"Animation, Sport",7.0,N/A
Bar Sport,2011,tt1753476,Comedy,4.9,N/A
Perry Mason: The Case of the Telltale Talk Show Host,1993,tt0107813,"Crime, Drama, Mystery",6.9,N/A
Spook Sport,1940,tt0031964,"Animation, Short, Horror",6.6,N/A
9.3 Masaru Sato's Talk Show: The Intelligent Reading Skills,2014,tt4008976,Talk-Show,8.4,N/A
NDR Talk Show,1979–,tt0313106,Talk-Show,6.4,N/A
Anime Talk Show,2004,tt0497882,"Animation, Short, Comedy",8.4,N/A
Michael Jackson: Thriller,1983,tt0088263,"Short, Horror, Music",8.7,N/A
Thriller: A Cruel Picture,1973,tt0072285,"Action, Crime, Drama",6.4,N/A
Clue: A Love Thriller,2021,tt15211098,"Crime, Thriller",N/A,N/A
Thriller,1960–1962,tt0053546,"Crime, Drama, Horror",8.2,N/A
Shrek: Thriller Night,2011,tt2051999,"Animation, Short, Comedy",6.2,N/A
Avengers: Infinity War,2018,tt4154756,"Action, Adventure, Sci-Fi",8.4,"$678,815,482"
Captain America: Civil War,2016,tt3498820,"Action, Sci-Fi",7.8,"$408,084,349"
World War Z,2013,tt0816711,"Action, Adventure, Horror",7.0,"$202,807,711"
War of the Worlds,2005,tt0407304,"Action, Adventure, Sci-Fi",6.5,"$234,280,354"
Lord of War,2005,tt0399295,"Crime, Drama",7.6,"$24,149,632"
War for the Planet of the Apes,2017,tt3450958,"Action, Adventure, Drama",7.4,"$146,880,162"
War Dogs,2016,tt2005151,"Biography, Comedy, Crime",7.1,"$43,034,523"
The Tomorrow War,2021,tt9777666,"Action, Adventure, Drama",6.6,N/A
Civil War,2024,tt17279496,"Action, Adventure, Thriller",7.0,"$68,603,430"
This Means War,2012,tt1596350,"Action, Comedy, Romance",6.3,"$54,760,791"
An Action Hero,2022,tt15600222,"Action, Comedy, Crime",7.0,N/A
321 Action,2020,tt13423846,Drama,1.0,N/A
Class Action Park,2020,tt11015214,"Documentary, Crime",7.0,N/A
Class Action,1991,tt0101590,"Drama, Thriller",6.4,"$24,277,858"
Braddock: Missing in Action III,1988,tt0094792,"Action, War",4.9,"$6,193,901"
Action Replayy,2010,tt1396208,"Comedy, Romance, Sci-Fi",4.3,N/A
Mutant Action,1993,tt0106215,"Comedy, Fantasy, Sci-Fi",6.4,N/A
Action Hero Biju,2016,tt5320514,"Action, Comedy, Thriller",7.6,N/A
Last Action Hero,1993,tt0107362,"Action, Adventure, Comedy",6.5,"$50,016,394"
A Man of Action,2022,tt12703292,"Biography, Crime, Drama",6.4,N/A
Action in the North Atlantic,1943,tt0035608,"Drama, War",7.0,"$2,600,000"
Bill,2015,tt2978576,"Comedy, Family, History",6.6,N/A
The Ewok Adventure,1984,tt0087225,"Adventure, Family, Fantasy",5.3,N/A
Adventure Time: Distant Lands,2020–2021,tt11165358,"Animation, Action, Adventure",8.7,N/A
Executive Action,1973,tt0070046,"Crime, Drama, History",6.7,N/A
Adventure Time: Fionna & Cake,2023,tt15248880,"Animation, Action, Adventure",8.8,N/A
The Land Before Time II: The Great Valley Adventure,1994,tt0110300,"Animation, Adventure, Family, Musical",5.9,N/A
The Adventure of Sherlock Holmes' Smarter Brother,1975,tt0072608,"Comedy, Crime, Music",6.0,"$20,492,000"
Digimon Adventure,1999–2000,tt0211145,"Animation, Action, Adventure",7.9,N/A
Comedy Nights with Kapil,2013–2016,tt3402548,"Comedy, Talk-Show",8.0,N/A
Lady and the Tramp 2: Scamp's Adventure,2001,tt0249677,"Animation, Adventure, Family, Musical, Romance",5.9,N/A
The Comedy,2012,tt2112293,"Comedy, Drama",6.3,"$41,113"
InAPPropriate Comedy,2013,tt1754811,Comedy,2.7,"$228,004"
Blue Collar Comedy Tour: The Movie,2003,tt0330069,"Comedy, Documentary",7.1,"$604,856"
Comedy Bang! Bang!,2012–2016,tt2176287,"Comedy, Talk-Show",7.6,N/A
Comedy Central Roast of James Franco,2013,tt3098812,Comedy,7.7,N/A
Comedy Central Roast of Justin Bieber,2015,tt4504452,Comedy,7.3,N/A
Comedy Couple,2020,tt12758600,"Comedy, Romance",7.4,N/A
An Adventure in Space and Time,2013,tt2663812,"Biography, Drama, History",8.2,N/A
An Awkward Sexual Adventure,2012,tt2112210,"Comedy, Romance",6.1,N/A
101 Dalmatians 2: Patch's London Adventure,2002,tt0324941,"Animation, Adventure, Comedy, Family, Musical",5.8,N/A
Looking for Comedy in the Muslim World,2005,tt0433116,Comedy,5.5,"$888,975"
Family Drama,2024,tt32832440,N/A,8.7,N/A
Drama,2010,tt1365451,Drama,4.9,N/A
A Little Daytime Drama,2021,tt14833702,"Comedy, Romance",6.4,N/A
Abla Fahita: Drama Queen,2021,tt11570224,"Comedy, Crime, Drama",6.5,N/A
Vardy v Rooney: A Courtroom Drama,2022,tt22751880,"Biography, Drama",6.1,N/A
Total Drama Island: Reboot,2023–,tt29116817,"Animation, Comedy",7.4,N/A
Comedy Central Roast of Charlie Sheen,2011,tt1985970,"Documentary, Comedy",7.7,N/A
Chang: A Drama of the Wilderness,1927,tt0017743,"Documentary, Adventure, Drama",6.9,N/A
Time Warp: The Greatest Cult Films of All-Time- Vol. 2 Horror and Sci-Fi,2020,tt12031212,"Documentary, Horror, Sci-Fi",7.0,N/A
Drama Alert,2014–,tt6026132,"Comedy, Drama, News",1.5,N/A
Sci-Fi Saved My Life,2006–,tt0808102,Documentary,7.8,N/A
Robby the Robot: Engineering a Sci-Fi Icon,2006,tt0909825,"Documentary, Short",6.3,N/A
Sci-Fi Buzz,1992–,tt0842682,"Documentary, News, Sci-Fi",8.5,N/A
Sci-Fi Harry,2000–2001,tt3337196,"Animation, Drama, Horror",5.9,N/A
SCI FI Investigates,2006–,tt0943757,"Mystery, Reality-TV, Sci-Fi",5.2,N/A
Smash Cuts!: Super Sci-Fi Short Fest,2001,tt0376893,"Comedy, Horror, Sci-Fi",5.1,N/A
Sci-Fi High: The Movie Musical,2010,tt1454542,"Comedy, Horror, Musical",3.9,N/A
That Sci-Fi Guy,2010–2014,tt2071222,"Comedy, Sci-Fi",6.1,N/A
Sci-Fi Channel: The Lowdown - The Chronicles of Riddick,2004,tt0827518,Documentary,7.9,N/A
Looney Tunes: Back in Action,2003,tt0318155,"Animation, Adventure, Comedy",5.8,"$20,991,364"
Gintama Live Action the Movie,2017,tt5805470,"Action, Adventure, Comedy",6.1,N/A
Missing in Action,1984,tt0087727,"Action, Adventure, Drama",5.4,"$22,812,411"
Justice League Action,2016–2018,tt5419200,"Animation, Action, Adventure",7.5,N/A
Uncharted: Live Action Fan Film,2018,tt8707436,"Short, Action, Adventure, Family, Fantasy",8.5,N/A
Direct Action,2004,tt0368688,"Action, Crime, Thriller",5.0,N/A
The Action Pack,2023,tt26673530,"Action, Comedy",4.9,N/A
Action,1999–2000,tt0206467,Comedy,8.3,N/A
A Piece of the Action,1977,tt0076543,"Crime, Comedy",6.4,N/A
In Search of the Last Action Heroes,2019,tt8840400,Documentary,7.2,N/A
Guns Trance Action,2023,tt29278671,"Action, Crime, Drama",8.9,N/A
Bill,2015,tt2978576,"Comedy, Family, History",6.6,N/A
Beyond the Poseidon Adventure,1979,tt0078856,"Action, Adventure",4.7,N/A
Sharpay's Fabulous Adventure,2011,tt1629440,"Comedy, Drama, Family, Music, Musical, Romance",4.7,N/A
The Chipmunk Adventure,1987,tt0092752,"Animation, Adventure, Comedy",7.2,"$6,804,312"
Pooh's Grand Adventure: The Search for Christopher Robin,1997,tt0119918,"Animation, Adventure, Comedy, Family, Musical",7.1,N/A
The Last Adventure,1967,tt0061376,"Adventure, Drama",7.0,N/A
Christmas Vacation 2: Cousin Eddie's Island Adventure,2003,tt0367623,Comedy,2.7,N/A
The Incredibly True Adventure of Two Girls in Love,1995,tt0113416,"Comedy, Drama, Romance",6.6,"$2,213,927"
Buzz Lightyear of Star Command: The Adventure Begins,2000,tt0181196,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",6.2,N/A
The Amazing Panda Adventure,1995,tt0112342,"Adventure, Drama, Family",5.7,"$7,506,759"
The Tom and Jerry Comedy Show,1980–1982,tt0282315,"Animation, Comedy, Family",7.6,N/A
Comedy of Power,2006,tt0463486,Drama,6.3,"$80,550"
Sex Is Comedy,2002,tt0304678,"Comedy, Drama, Romance",5.7,"$40,470"
Seth MacFarlane's Cavalcade of Cartoon Comedy,2008–2010,tt1295036,"Animation, Short, Comedy",6.4,N/A
The Underground Comedy Movie,1999,tt0201290,Comedy,1.9,$856
The Human Comedy,1943,tt0036022,"Comedy, Drama, Family",7.0,N/A
The Comedians of Comedy,2005,tt0451021,"Comedy, Documentary",7.2,$549
Noel Fielding's Luxury Comedy,2012–2014,tt2220083,Comedy,6.3,N/A
Comedy Central Roast of Pamela Anderson,2005,tt0474603,"Documentary, Comedy",7.1,N/A
Comedy Central Roast of William Shatner,2006,tt0840305,Comedy,7.3,N/A
Drama Club,2021,tt14239088,Comedy,5.8,N/A
I Became the Lead in a BL Drama: Crank up Edition,2023–2024,tt30768610,"Comedy, Romance",7.2,N/A
Circle of Violence: A Family Drama,1986,tt0090846,Drama,6.1,N/A
The Photo-Drama of Creation,1914,tt0162536,"Documentary, Drama, History",7.0,N/A
Shingeki no Kyojin: Picture Drama,2013–2014,tt6811662,"Animation, Short, Comedy",6.7,N/A
Musical Drama Chinese Gospel Choir 19th Performance,2017,tt7378052,Drama,8.4,N/A
Drama Drama,2019,tt3901006,"Comedy, Family, Musical",4.7,N/A
A Little Family Drama,2024,tt21337754,"Comedy, Drama",N/A,N/A
Total Drama World Tour,2010–,tt14556402,Comedy,N/A,N/A
